invoice_id,fecha,cliente,producto,categoria,moneda,subtotal,impuesto,monto,metodo_pago,estado
F-1003,2025-01-01,Hotel Brisa,Servicio Mensual,Ingresos,CRC,538.31,69.98,608.29,SINPE,Pagada
F-1007,2025-01-02,Beta Services,Servicio Mensual,Ingresos,CRC,524.67,68.21,592.88,SINPE,Pagada
F-1001,2025-01-04,Alfa Comercial,Servicio Mensual,Ingresos,CRC,466.98,60.71,527.69,Transferencia,Pagada
F-1004,2025-01-04,Quantum Repair,Soporte Técnico,Ingresos,CRC,150.66,19.59,170.25,Efectivo,Pendiente
F-1005,2025-01-06,Café Central,Soporte Técnico,Ingresos,CRC,362.14,47.08,409.22,Efectivo,Pagada
F-1006,2025-01-07,Luna Boutique,Servicio Mensual,Ingresos,CRC,484.26,62.95,547.21,SINPE,Pagada
F-1000,2025-01-09,Delta Logistics,Servicio Mensual,Ingresos,CRC,498.48,64.8,563.28,Transferencia,Pendiente
F-1002,2025-01-09,Innova Studio,Soporte Técnico,Ingresos,CRC,186.13,24.2,210.33,SINPE,Pagada
F-1010,2025-01-13,TropiFood,Proyecto,Ingresos,CRC,3306.12,429.8,3735.92,Efectivo,Pendiente
F-1009,2025-01-19,Luna Boutique,Implementación,Ingresos,CRC,1404.21,182.55,1586.76,Transferencia,Pagada
F-1008,2025-01-20,Delta Logistics,Capacitación,Ingresos,CRC,438.44,57.0,495.44,Tarjeta,Pagada
F-1011,2025-01-25,Innova Studio,Implementación,Ingresos,CRC,1421.54,184.8,1606.34,Transferencia,Pagada
F-1017,2025-02-02,Café Central,Servicio Mensual,Ingresos,CRC,598.61,77.82,676.43,Tarjeta,Pagada
F-1013,2025-02-04,Alfa Comercial,Soporte Técnico,Ingresos,CRC,183.79,23.89,207.68,Efectivo,Pagada
F-1012,2025-02-04,Delta Logistics,Servicio Mensual,Ingresos,CRC,577.87,75.12,652.99,Efectivo,Pagada
F-1016,2025-02-07,Quantum Repair,Soporte Técnico,Ingresos,CRC,185.8,24.15,209.95,Tarjeta,Pagada
F-1018,2025-02-07,Luna Boutique,Servicio Mensual,Ingresos,CRC,422.36,54.91,477.27,Efectivo,Pagada
F-1014,2025-02-08,Innova Studio,Servicio Mensual,Ingresos,CRC,378.01,49.14,427.15,Tarjeta,Pagada
F-1015,2025-02-09,Hotel Brisa,Soporte Técnico,Ingresos,CRC,344.1,44.73,388.83,Efectivo,Pagada
F-1019,2025-02-09,Beta Services,Servicio Mensual,Ingresos,CRC,531.7,69.12,600.82,Transferencia,Pagada
F-1024,2025-02-09,Hotel Brisa,Implementación,Ingresos,CRC,1653.61,214.97,1868.58,Transferencia,Pagada
F-1025,2025-02-10,Pura Vida Tours,Proyecto,Ingresos,CRC,3427.25,445.54,3872.79,Efectivo,Pendiente
F-1026,2025-02-13,Río Verde,Capacitación,Ingresos,CRC,480.77,62.5,543.27,Tarjeta,Pagada
F-1022,2025-02-14,Quantum Repair,Implementación,Ingresos,CRC,1048.7,136.33,1185.03,Transferencia,Pendiente
F-1023,2025-02-18,TropiFood,Capacitación,Ingresos,CRC,191.1,24.84,215.94,SINPE,Pagada
F-1020,2025-02-18,Innova Studio,Implementación,Ingresos,CRC,952.2,123.79,1075.99,Transferencia,Pendiente
F-1021,2025-02-24,Innova Studio,Implementación,Ingresos,CRC,1209.22,157.2,1366.42,SINPE,Pendiente
F-1030,2025-03-01,Hotel Brisa,Servicio Mensual,Ingresos,CRC,541.9,70.45,612.35,Transferencia,Pagada
F-1031,2025-03-01,Quantum Repair,Soporte Técnico,Ingresos,CRC,141.26,18.36,159.62,Tarjeta,Pagada
F-1029,2025-03-04,Innova Studio,Servicio Mensual,Ingresos,CRC,405.09,52.66,457.75,Tarjeta,Pagada
F-1028,2025-03-06,Alfa Comercial,Soporte Técnico,Ingresos,CRC,389.88,50.68,440.56,Efectivo,Pagada
F-1034,2025-03-06,Beta Services,Soporte Técnico,Ingresos,CRC,243.33,31.63,274.96,Transferencia,Pagada
F-1033,2025-03-08,Luna Boutique,Soporte Técnico,Ingresos,CRC,177.12,23.03,200.15,Transferencia,Pagada
F-1032,2025-03-08,Café Central,Servicio Mensual,Ingresos,CRC,479.52,62.34,541.86,Efectivo,Pagada
F-1027,2025-03-09,Delta Logistics,Servicio Mensual,Ingresos,CRC,543.79,70.69,614.48,Efectivo,Pagada
F-1036,2025-03-14,Grupo Horizonte,Proyecto,Ingresos,CRC,2380.42,309.45,2689.87,SINPE,Pagada
F-1037,2025-03-15,Órbita Media,Implementación,Ingresos,CRC,1131.76,147.13,1278.89,Transferencia,Pagada
F-1035,2025-03-20,Beta Services,Proyecto,Ingresos,CRC,2019.7,262.56,2282.26,Tarjeta,Pagada
F-1038,2025-04-01,Delta Logistics,Servicio Mensual,Ingresos,CRC,689.61,89.65,779.26,Tarjeta,Pagada
F-1043,2025-04-01,Café Central,Servicio Mensual,Ingresos,CRC,535.84,69.66,605.5,Tarjeta,Pendiente
F-1040,2025-04-03,Innova Studio,Soporte Técnico,Ingresos,CRC,130.3,16.94,147.24,Efectivo,Pagada
F-1045,2025-04-04,Beta Services,Soporte Técnico,Ingresos,CRC,168.44,21.9,190.34,Tarjeta,Pagada
F-1042,2025-04-05,Quantum Repair,Servicio Mensual,Ingresos,CRC,689.5,89.64,779.14,Transferencia,Pagada
F-1039,2025-04-08,Alfa Comercial,Soporte Técnico,Ingresos,CRC,198.85,25.85,224.7,Efectivo,Pagada
F-1041,2025-04-08,Hotel Brisa,Soporte Técnico,Ingresos,CRC,266.65,34.66,301.31,Efectivo,Pagada
F-1044,2025-04-09,Luna Boutique,Servicio Mensual,Ingresos,CRC,642.6,83.54,726.14,Transferencia,Pagada
F-1046,2025-04-10,TropiFood,Capacitación,Ingresos,CRC,599.08,77.88,676.96,SINPE,Pagada
F-1047,2025-04-14,Innova Studio,Proyecto,Ingresos,CRC,3524.51,458.19,3982.7,Efectivo,Pendiente
F-1048,2025-04-17,Eco Market,Capacitación,Ingresos,CRC,389.04,50.58,439.62,Transferencia,Pagada
F-1049,2025-05-01,Delta Logistics,Soporte Técnico,Ingresos,CRC,330.86,43.01,373.87,Transferencia,Pendiente
F-1056,2025-05-01,Beta Services,Servicio Mensual,Ingresos,CRC,555.86,72.26,628.12,SINPE,Pendiente
F-1053,2025-05-02,Quantum Repair,Servicio Mensual,Ingresos,CRC,408.08,53.05,461.13,Transferencia,Pagada
F-1054,2025-05-03,Café Central,Soporte Técnico,Ingresos,CRC,220.89,28.72,249.61,Tarjeta,Pagada
F-1050,2025-05-04,Alfa Comercial,Soporte Técnico,Ingresos,CRC,172.52,22.43,194.95,SINPE,Pagada
F-1051,2025-05-04,Innova Studio,Soporte Técnico,Ingresos,CRC,221.94,28.85,250.79,Efectivo,Pagada
F-1055,2025-05-04,Luna Boutique,Soporte Técnico,Ingresos,CRC,293.35,38.14,331.49,SINPE,Pagada
F-1052,2025-05-05,Hotel Brisa,Servicio Mensual,Ingresos,CRC,569.28,74.01,643.29,SINPE,Pagada
F-1058,2025-05-08,Río Verde,Implementación,Ingresos,CRC,745.52,96.92,842.44,Tarjeta,Pagada
F-1059,2025-05-09,Río Verde,Capacitación,Ingresos,CRC,552.99,71.89,624.88,Tarjeta,Pendiente
F-1061,2025-05-14,Luna Boutique,Proyecto,Ingresos,CRC,1861.32,241.97,2103.29,Efectivo,Pendiente
F-1057,2025-05-16,Eco Market,Implementación,Ingresos,CRC,1608.64,209.12,1817.76,Efectivo,Pagada
F-1060,2025-05-17,Beta Services,Capacitación,Ingresos,CRC,747.81,97.22,845.03,Transferencia,Pagada
F-1065,2025-06-01,Hotel Brisa,Soporte Técnico,Ingresos,CRC,201.67,26.22,227.89,Efectivo,Pagada
F-1069,2025-06-02,Beta Services,Soporte Técnico,Ingresos,CRC,187.46,24.37,211.83,SINPE,Pendiente
F-1063,2025-06-03,Alfa Comercial,Soporte Técnico,Ingresos,CRC,137.63,17.89,155.52,SINPE,Pagada
F-1066,2025-06-04,Quantum Repair,Servicio Mensual,Ingresos,CRC,311.86,40.54,352.4,Tarjeta,Pagada
F-1067,2025-06-05,Café Central,Servicio Mensual,Ingresos,CRC,688.77,89.54,778.31,SINPE,Pagada
F-1064,2025-06-07,Innova Studio,Servicio Mensual,Ingresos,CRC,409.02,53.17,462.19,Transferencia,Pagada
F-1068,2025-06-09,Luna Boutique,Soporte Técnico,Ingresos,CRC,349.76,45.47,395.23,SINPE,Pagada
F-1062,2025-06-10,Delta Logistics,Servicio Mensual,Ingresos,CRC,672.34,87.4,759.74,Tarjeta,Pagada
F-1074,2025-06-17,Delta Logistics,Proyecto,Ingresos,CRC,2074.29,269.66,2343.95,Efectivo,Pagada
